ID,TAREA,REQUISITOS,SPRINT,EPICA,DESCRIPCION,ESTIMACION
1,Gestión Configuración,Sec 1.3,Sprint 1,Infraestructura,"Configuración de repositorio (Git/Gitlab), ramas y metodología Scrum.",1
2,Persistencia Datos Crudos,RF-1,Sprint 1,Ingesta y Procesamiento,Lectura de CSV y almacenamiento en sistema gestor de datos persistente.,1
3,Validación Método,RF-2,Sprint 1,Ingesta y Procesamiento,Validación: Solo aceptar solicitudes HTTP GET.,1
4,Validación Estado,RF-3,Sprint 1,Ingesta y Procesamiento,Validación: Solo aceptar estado 200 o 206.,1
5,Detección Bots,RF-4,Sprint 1,Ingesta y Procesamiento,"Detectar User Agents con: BOT, SPIDER, CRAWLER, HERITRIX.",1
6,Validación Formato,RF-5,Sprint 1,Ingesta y Procesamiento,Validación: Solo aceptar archivos extensión .mp3.,1
7,Observaciones Error,RF-6,Sprint 1,Ingesta y Procesamiento,"Generar métricas: Bad method, Bad status, Bad format resource, Bot detected, NA.",1
8,Automatización Pruebas,Sec 1.3,Sprint 1,Infraestructura,Implementación de pruebas unitarias (basadas en unit_test.py).,1
9,Lógica Descarga 206,RF-7,Sprint 2,Ingesta y Procesamiento,Nueva descarga si bytes transferidos >= 1048576 (acumulado usuario/episodio).,1
10,Lógica Descarga 200,RF-7,Sprint 2,Ingesta y Procesamiento,Nueva descarga si bytes transferidos >= 31457280 (acumulado usuario/episodio).,1
11,Unicidad Observación,RF-7,Sprint 2,Ingesta y Procesamiento,Descartar solicitudes adicionales del mismo usuario (id+agent) sobre mismo episodio.,1
12,Enriquecimiento Geo,RF-7,Sprint 2,Ingesta y Procesamiento,Asignar latitud/longitud aleatoria de capitales de Comunidades Autónomas.,2
13,Gestor Entidades,Sec 1.3,Sprint 2,Ingesta y Procesamiento,"Sistema gestor de datos para entidades (Podcast, Episodio, Métrica, Observación).",2
15,API CRUD,RFN-1,Sprint 3,API y Servicios,"CRUD sobre entidades: Podcast, Episodio, Métrica y Observación (OpenAPI).",3
16,Estadísticas Análisis,RF-8,Sprint 3,API y Servicios,"Cálculo de conteos: Download 200/206, Bad method, Bad status, Bad format, Bot.",1
17,Ranking Programas,RF-9,Sprint 3,API y Servicios,Lista de K programas principales ordenados por descargas (200 + 206).,1
18,Seguridad,RFN-2,Sprint 3,Infraestructura,Protocolos HTTPS o autenticación (usuario/contraseña) en API.,3
19,Pruebas Funcionales,Sec 1.3,Sprint 3,Infraestructura,Automatización de pruebas funcionales del sistema.,1
20,Recomendación,RF-11,Sprint 4,Valor Añadido,Algoritmo: Temas usuario -> Episodios temas -> Ordenar por descargas -> Top 5.,3
21,Visualización Gráfica,RF-10,Sprint 4,Valor Añadido,Gráfico de columnas con la lista de K programas principales.,2
22,Capa Visualización,Sec 1.3,Sprint 4,Valor Añadido,Sistema de visualización de usuario final (Angular/React/Superset/Kibana).,1
23,Despliegue Automático,Sec 1.3,Sprint 4,Infraestructura,Capacidad de construir y desplegar en nueva máquina automáticamente.,1
24,Calidad Código,Sec 1.3,Sprint 4,Infraestructura,Métricas de calidad de código fuente (ej. SonarQube).,2
